field_1,xcoord,ycoord,PA,Value
116,552972.1517,1478287.381,outside_bhadra,1
117,552972.1517,1477127.381,outside_bhadra,1
118,552972.1517,1476547.381,outside_bhadra,1
119,552972.1517,1475967.381,outside_bhadra,1
120,553552.1517,1521207.381,outside_bhadra,1
121,553552.1517,1520627.381,outside_bhadra,1
122,553552.1517,1520047.381,outside_bhadra,1
123,553552.1517,1519467.381,outside_bhadra,1
124,553552.1517,1518887.381,outside_bhadra,1
125,553552.1517,1518307.381,outside_bhadra,1
126,553552.1517,1517727.381,outside_bhadra,1
127,553552.1517,1514247.381,outside_bhadra,1
128,553552.1517,1513667.381,outside_bhadra,1
129,553552.1517,1512507.381,outside_bhadra,1
130,553552.1517,1511927.381,outside_bhadra,1
131,553552.1517,1511347.381,outside_bhadra,1
132,553552.1517,1496847.381,outside_bhadra,1
133,553552.1517,1496267.381,outside_bhadra,1
134,553552.1517,1495687.381,outside_bhadra,1
135,553552.1517,1495107.381,outside_bhadra,1
136,553552.1517,1494527.381,outside_bhadra,1
137,553552.1517,1493947.381,outside_bhadra,1
138,553552.1517,1493367.381,outside_bhadra,1
139,553552.1517,1491047.381,outside_bhadra,1
140,553552.1517,1490467.381,outside_bhadra,1
141,553552.1517,1489887.381,outside_bhadra,1
142,553552.1517,1489307.381,outside_bhadra,1
143,553552.1517,1488727.381,outside_bhadra,1
144,553552.1517,1488147.381,outside_bhadra,1
145,553552.1517,1487567.381,outside_bhadra,1
146,553552.1517,1478867.381,outside_bhadra,1
147,553552.1517,1478287.381,outside_bhadra,1
148,553552.1517,1477707.381,outside_bhadra,1
149,553552.1517,1477127.381,outside_bhadra,1
150,553552.1517,1476547.381,outside_bhadra,1
151,553552.1517,1475967.381,outside_bhadra,1
152,554132.1517,1522947.381,outside_bhadra,1
153,554132.1517,1521787.381,outside_bhadra,1
154,554132.1517,1521207.381,outside_bhadra,1
155,554132.1517,1520627.381,outside_bhadra,1
156,554132.1517,1520047.381,outside_bhadra,1
157,554132.1517,1519467.381,outside_bhadra,1
158,554132.1517,1518887.381,outside_bhadra,1
159,554132.1517,1518307.381,outside_bhadra,1
160,554132.1517,1517727.381,outside_bhadra,1
161,554132.1517,1516567.381,outside_bhadra,1
162,554132.1517,1515407.381,outside_bhadra,1
163,554132.1517,1514827.381,outside_bhadra,1
164,554132.1517,1514247.381,outside_bhadra,1
165,554132.1517,1513667.381,outside_bhadra,1
166,554132.1517,1513087.381,outside_bhadra,1
167,554132.1517,1512507.381,outside_bhadra,1
168,554132.1517,1511927.381,outside_bhadra,1
169,554132.1517,1511347.381,outside_bhadra,1
170,554132.1517,1510767.381,outside_bhadra,1
171,554132.1517,1497427.381,outside_bhadra,1
172,554132.1517,1496847.381,outside_bhadra,1
173,554132.1517,1496267.381,outside_bhadra,1
174,554132.1517,1495687.381,outside_bhadra,1
175,554132.1517,1495107.381,outside_bhadra,1
176,554132.1517,1494527.381,outside_bhadra,1
